track_id;track_name;track_number;track_popularity;explicit;artist_name;artist_name & track name;artist_popularity;artist_followers;artist_genres;album_id;album_name;album_release_date;anno;decade;album_total_tracks;album_type;track_duration_min
0l72HGRQkAR0imHxvpLi8a;Die On This Hill;1;76;False;SIENNA SPIRO;SIENNA SPIRO - Die On This Hill;66;182377,00;N/A;5pIGU5FZ74YPdUrBdk9lcC;Die On This Hill;2025-10-10;2025;2020;3;single;3.61
4idqAxBL2zVyfyMhi8QSZK;Distance Of Living;9;35;False;Aresty.;Aresty. - Distance Of Living;17;4,00;N/A;3Mrg0RD2DiR7ma3u3lb5zT;Distance Of Living (This Life);2025-10-10;2025;2020;9;album;2.72
4WFfPxJv1KRekG6mxn837K;EYES CLOSED (with ZAYN);1;88;False;JISOO;JISOO - EYES CLOSED (with ZAYN);73;7282227,00;k-pop;3LOalJiwqPsviLuoNboNfc;EYES CLOSED (with ZAYN);2025-10-10;2025;2020;1;single;3.02
6I65Y2uL3LrvFuBS5LNVZa;Getting Down;1;30;False;gigi;gigi - Getting Down;13;5,00;N/A;6zU3BVqu50xiQRhlW5Gr2A;Getting Down;2025-10-10;2025;2020;1;single;3.13
0fOblXmOu0vHm0fa2RezCC;Alarm;1;18;False;Millo;Millo - Alarm;5;429,00;N/A;77C5CilG76Vovcb3mtKi09;Alarm;2025-10-10;2025;2020;1;single;3.02
1heaOeArQtwtQKRK0gJe42;All Night Long;1;39;False;KOLBEIN;KOLBEIN - All Night Long;28;631,00;hypertechno, melbourne bounce;1B1i85DEAvHLXu7FefdggZ;All Night Long;2025-10-10;2025;2020;1;single;2.75
3Du1WPZLhETDT6Jr4eumkU;ANYMORE;1;18;True;ASH7ON;ASH7ON - ANYMORE;7;308,00;N/A;7l4BqichAiJVxsXmUcI2zh;ANYMORE;2025-10-10;2025;2020;1;single;2.91
3m2dgCQagVWkSha04cZn23;Bad Boy;1;60;False;KROMA;KROMA - Bad Boy;54;11283,00;hard techno;3XuFyvJmX0CF4IlrGvkA9r;Bad Boy;2025-10-10;2025;2020;1;single;2.45
2omFbch4mNZo3ksaQeX78X;Break Out;1;39;False;zukrassverliebt;zukrassverliebt - Break Out;24;435,00;N/A;4kgNI75BjnV2XiaOMvegxl;Break Out;2025-10-10;2025;2020;1;single;3.2
5LlDzb8dY5h4npkWKVmjT5;Tropical Vacation;1;40;False;Riff Raff;Riff Raff - Tropical Vacation;48;193279,00;N/A;3qBIUlNmeUWR1ZMdkHYpTi;Tropical Vacation;2025-10-10;2025;2020;1;single;2.92
